id,label,attr_1,attr_2
322,product-322,129,147
323,product-323,140,64
324,product-324,35,105
325,product-325,193,14
326,product-326,171,222
327,product-327,66,78
328,product-328,261,93
329,product-329,72,71
330,product-330,104,24
331,product-331,94,35
332,product-332,116,179
333,product-333,111,144
334,product-334,43,229
335,product-335,221,75
336,product-336,158,50
337,product-337,207,216
338,product-338,155,151
339,product-339,53,10
340,product-340,95,79
341,product-341,180,81
342,product-342,122,157
343,product-343,162,97
344,product-344,217,80
345,product-345,93,115
346,product-346,228,183
347,product-347,71,198
348,product-348,37,191
349,product-349,240,45
350,product-350,160,102
351,product-351,182,182
352,product-352,56,75
353,product-353,229,19
354,product-354,63,139
355,product-355,146,126
356,product-356,100,222
357,product-357,180,26
358,product-358,146,46
359,product-359,196,42
360,product-360,115,138
361,product-361,64,185
362,product-362,203,47
363,product-363,234,163
364,product-364,21,133
365,product-365,113,47
366,product-366,149,202
367,product-367,236,162
368,product-368,150,203
369,product-369,199,73
370,product-370,159,146
371,product-371,25,229
372,product-372,118,138
373,product-373,198,208
374,product-374,174,163
375,product-375,74,153
376,product-376,9,75
377,product-377,81,59
378,product-378,88,104
379,product-379,188,209
380,product-380,59,153
381,product-381,148,81
382,product-382,100,37
383,product-383,66,157
384,product-384,187,93
385,product-385,136,63
386,product-386,155,173
387,product-387,110,103
388,product-388,147,64
389,product-389,69,144
390,product-390,107,148
391,product-391,137,89
392,product-392,63,121
393,product-393,52,37
394,product-394,234,120
395,product-395,215,104
396,product-396,40,201
397,product-397,201,154
398,product-398,53,189
399,product-399,118,80
400,product-400,186,236
401,product-401,80,212
402,product-402,150,118
403,product-403,152,103
404,product-404,153,115
405,product-405,134,144
406,product-406,128,103
407,product-407,188,136
408,product-408,98,70
409,product-409,188,203
410,product-410,14,170
411,product-411,198,101
412,product-412,52,44
413,product-413,234,220
414,product-414,69,165
415,product-415,108,148
416,product-416,76,186
417,product-417,141,121
418,product-418,54,216
419,product-419,96,109
420,product-420,7,133
421,product-421,209,141
422,product-422,207,55
423,product-423,66,96
424,product-424,186,10
425,product-425,182,140
426,product-426,123,149
427,product-427,47,184
428,product-428,132,55
429,product-429,188,135
430,product-430,31,145
431,product-431,54,101
432,product-432,69,22
433,product-433,92,181
434,product-434,55,179
435,product-435,202,167
436,product-436,129,147
437,product-437,97,19
438,product-438,179,48
439,product-439,201,153
440,product-440,107,88
441,product-441,64,95
442,product-442,33,145
443,product-443,201,134
444,product-444,131,122
445,product-445,204,87
446,product-446,171,18
447,product-447,89,115
448,product-448,19,78
449,product-449,126,131
450,product-450,178,175
451,product-451,81,100
452,product-452,22,101
453,product-453,151,114
454,product-454,25,186
455,product-455,0,119
456,product-456,182,225
457,product-457,142,143
458,product-458,102,155
459,product-459,53,30
460,product-460,153,91
461,product-461,177,93
462,product-462,56,90
463,product-463,186,40
464,product-464,151,157
465,product-465,176,149
466,product-466,103,140
467,product-467,139,124
468,product-468,168,109
469,product-469,115,65
470,product-470,198,148
471,product-471,82,192
472,product-472,207,29
473,product-473,211,37
474,product-474,180,96
475,product-475,160,194
476,product-476,189,161
477,product-477,133,241
478,product-478,27,128
479,product-479,180,77
480,product-480,207,71
481,product-481,7,10
482,product-482,21,183
483,product-483,215,176
484,product-484,175,100
485,product-485,55,70
486,product-486,73,155
487,product-487,170,207
488,product-488,13,212
489,product-489,40,45
490,product-490,192,33
491,product-491,197,93
492,product-492,198,68
493,product-493,24,19
494,product-494,40,203
495,product-495,91,216
496,product-496,170,140
497,product-497,50,31
498,product-498,184,267
499,product-499,191,55
500,product-500,191,109
